Symbol,Name,Scenario,r,g,payout_DDM,payout_RIM,DDM_price,RIM_price,cheap_mean_3y
A046140,SBS콘텐츠허브,Conservative,0.095,0.04,0.2,0.2,0.001833236907122927,-0.42444256293244326,0.6026888851888853
A046140,SBS콘텐츠허브,Base,0.08,0.05,0.25,0.25,0.004241563757465907,-1.0429591546553725,0.6026888851888853
A046140,SBS콘텐츠허브,Optimistic,0.065,0.05,0.3,0.3,0.010179753017918177,-2.236951324339174,0.6026888851888853
A040300,YTN,Conservative,0.095,-0.016636909517613,0.2,0.2,0.0007446889432223164,0.057380560737094397,0.6747115847115847
A040300,YTN,Base,0.08,-0.006636909517613,0.25,0.25,0.001211668696091686,0.03370854334043942,0.6747115847115847
A040300,YTN,Optimistic,0.065,0.003363090482387,0.3,0.3,0.00206432148510647,-0.017835545365488068,0.6747115847115847
A051530,굿이엠지,Conservative,0.095,-0.4012194258469604,0.25,0.25,,,
A051530,굿이엠지,Base,0.08,-0.3912194258469604,0.3,0.3,,,
A051530,굿이엠지,Optimistic,0.065,-0.3812194258469604,0.35,0.35,,,
A464580,닷밀,Conservative,0.095,0.04,0.2,0.2,-0.0006559222383076789,-0.007727476146327498,0.6089102564102564
A464580,닷밀,Base,0.08,0.05,0.25,0.25,-0.0015176085441613964,-0.017936987979902844,0.6089102564102564
A464580,닷밀,Optimistic,0.065,0.05,0.3,0.3,-0.0036422605059873514,-0.0385727865428854,0.6089102564102564
A206560,덱스터,Conservative,0.095,0.04,0.2,0.2,-0.00037239364156924835,-0.1087425696171753,0.05025557775557778
A206560,덱스터,Base,0.08,0.05,0.25,0.25,-0.0008616078846403883,-0.26590420271584536,0.05025557775557778
A206560,덱스터,Optimistic,0.065,0.05,0.3,0.3,-0.0020678589231369316,-0.5704445582333497,0.05025557775557778
A060300,레드로버,Conservative,0.095,-0.70447096268268,0.25,0.2,,,0.6452355977355977
A060300,레드로버,Base,0.08,-0.6944709626826799,0.3,0.25,,,0.6452355977355977
A060300,레드로버,Optimistic,0.065,-0.6844709626826799,0.35,0.3,,,0.6452355977355977
A035620,바른손이앤에이,Conservative,0.095,0.04,0.2,0.2,-0.0003168769968743553,-0.04551760970379589,0.7700836200836201
A035620,바른손이앤에이,Base,0.08,0.05,0.25,0.25,-0.0007331589170470362,-0.11125845015455418,0.7700836200836201
